Numero;Especie;Individuo;Hoja;Area;Biomasa_g;AreaSobreBiomas;Observación
361;Totumo;1;10;95.4775151377778;0.498;191.721917947345;
362;Totumo;1;12;63.25084124;0.5489999999999999;115.21100408014573;
363;Totumo;1;13;49.6372483955556;0.32889999999999997;150.9189674538024;
364;Totumo;1;14;72.8709653688889;0.5758000000000001;126.55603572228011;
365;Totumo;1;15;49.1892923022222;0.21409999999999996;229.74914667081836;
366;Azuceno;1;1;25.3807377688889;0.1201000000000001;211.33003970765094;
367;Azuceno;1;2;37.7828635022222;0.22009999999999996;171.66226034630716;
368;Azuceno;1;3;28.9563578577778;0.16300000000000003;177.64636722563063;
369;Azuceno;1;4;28.0015210577778;0.1491;187.8036288248008;
370;Azuceno;1;5;24.6059006088889;0.13069999999999982;188.2624377114685;
371;Azuceno;1;6;42.5064382844445;0.24619999999999997;172.65003364924655;
372;Azuceno;1;7;39.20508288;0.22739999999999982;172.40581741424816;
373;Azuceno;1;8;36.8819334044444;0.20450000000000013;180.35175258897007;
374;Azuceno;1;9;33.0342708488889;0.17449999999999988;189.3081424005096;
375;Azuceno;1;10;30.3739894311111;0.15029999999999988;202.08908470466483;
