Número del Individuo,Nombre común,Tipo_Hoja,Material_2.5,Material_10,Diametro,BiomasaEstimada,Altura,Area,n_Individuos
5,Mango,Simple,0.008466666666666844,0.2763333333333333,"79,2/94,0/47,5/86,9/53,1",47343.36694605261,7.972930777453313,849.65,
6,Mango,Simple,0.02986129032258078,0.5142709677419357,"65,3/62,1/79,5/66,8",33097.30121324343,8.011963326177924,929.428,
7,Mango,Simple,0.029461290322580713,0.19917096774193577,"89,4/105,7",30166.379678786354,9.503248678973984,890.0,
1,Manzano de monte,3_foliolos,0.09328387096774216,0.21150645161290327,19-8,5359.783040696411,3.4939827350425245,4409.016,
1,Mulí,Simple_pequeña,0.012161290322580731,0.03893548387096768,21,3104.8287482812957,3.3744639969581582,334.9295093511111,
2,Mulí,Simple_pequeña,0.0146612903225809,0.003435483870967815,25,3369.7139621387087,4.954407443435853,169.8063270533333,
3,Mulí,Simple_pequeña,0.021661290322580795,0.019935483870967774,27,3510.5141717288575,4.954407443435853,84.52076285777778,
4,Mulí,Simple_pequeña,0.009461290322580806,0.018935483870967662,44,4971.427643183046,5.984904429010897,180.2002130755556,
5,Mulí,Simple_pequeña,0.02016129032258074,0.014435483870967825,37,4307.8363505613115,6.460386150037829,131.1399527733333,
6,Mulí,Simple_pequeña,0.01566129032258079,0.014735483870967903,33,3969.20756313244,1.9059647816141911,167.5846110666667,
7,Mulí,Simple_pequeña,0.054922580645161645,0.011935483870967767,43,4870.710040450867,6.630625411594059,173.1060337155556,
8,Mulí,Simple_pequeña,0.01566129032258079,0.018935483870967662,48,5395.559787401999,7.675453536720804,254.7744725288889,
1,Naranjo,Simple,0.013466666666666738,0.020666666666666833,"11/16/13/11/7/9,5/11,5/18/28/16/10",29624.910457331116,5.077133059428725,659.973,
2,Naranjo,Simple,0.01646666666666685,0.01866666666666661,"24,5/29/27",10503.117049066388,3.540182061849719,303.215,
3,Naranjo,Simple,0.01646666666666663,0.058666666666666645,27/13,6146.401717724654,4.382672594590874,259.29,
4,Naranjo,Simple,0.020466666666666633,0.06566666666666676,25/44,8341.141605321754,4.788063036075911,350.519,
5,Naranjo,Simple,0.01646666666666663,0.07266666666666666,19-17-29-25-33.2,16853.46557951315,2.2261434265426807,421.009,
1,Nispero,Simple,0.018933333333333247,0.4660000000000002,46,5179.15389591168,5.885877676113296,2004.851,
1,Paco,Hiper_grande_formas_raras,0.01666129032258079,0.29687096774193567,20/15,5787.952651914711,4.972503428049746,,
2,Paco,Hiper_grande_formas_raras,0.05832258064516116,0.11993548387096786,7/19,5311.576396227605,7.701016901095828,1628.933372951111,
3,Paco,Hiper_grande_formas_raras,0.05608387096774248,0.23380645161290325,7/27/23,9076.35172738652,7.701016901095828,3253.005465302222,
4,Paco,Hiper_grande_formas_raras,0.05864516129032271,0.12787096774193585,37/37,8615.672701122623,8.305513683434167,5488.318987497779,
1,Pero de agua,Simple,0.01446666666666685,0.14266666666666672,89,12487.606927263585,10.9446445864214,2619.910029,
1,Saman,Compuesta_bipinada,0.04859462365591449,0.09033333333333338,241,280274.7046598364,8.17754981334619,3757.937788768889,
2,Saman,Compuesta_bipinada,0.06592258064516154,0.1695709677419357,158/107/108,87737.01008189516,15.366687969203122,3384.48419876,
1,Siempre verde,Compuesta_bipinada,0.05518924731182828,0.05213548387096778,193,104934.73417067346,16.8657746620857,1341.398,
1,Terminalia,Simple,0.013466666666666738,0.023666666666666725,126.5,26903.635326944826,6.640595692743264,806.7400352622225,
2,Terminalia,Simple,0.013466666666666738,0.020666666666666833,119.3,23217.276420424954,6.544939925643833,421.063674,
3,Terminalia,Simple,0.012466666666666848,0.015666666666666718,76.6,9688.521828905703,6.500662841968202,373.1971030666668,
